Contract_number_masked,Customer_ID_masked,Customer_segment,Line_of_business,Product_type,Annual_premium,Payment_frequency,Customer_age,Customer_type,Customer_region,Customer_province,Customer_urbanization,Broker_region,Broker_province,Broker_urbanization,Broker_cor,probability_direct_debit
IBN***487,883***0.0,Retail,I - Property,I01 - HABITAT.,86.08,Quarterly,C = 30-39,Physical person,WAL,WHT,Urban,WAL,WHT,Rural,4315087763.0,0.29947273110923106
KIK***050,443***8.0,Retail,A - Motor,A01 - TA/PRIVE,339.92,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,7695291853.0,0.2993525776791906
QMH***114,978***5.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,D = 40-69,Physical person,WAL,WHT,Urban,WAL,WHT,Rural,8883422068.0,0.2993335068741626
ZVH***556,838***8.0,Retail,P - Liability,P01 - FAMILY P,72.66,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Urban,9315227891.0,0.29925198275164155
RDY***529,132***6.0,Retail,I - Property,I01 - HABITAT.,339.5,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,7852962055.0,0.2989616135093069
RIC***987,861***1.0,Retail,N - Accident,N05 - IND CIRC,36.83,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,WAL,WHT,Rural,8683563283.0,0.2989445813372869
HYT***132,933***8.0,Retail,I - Property,I01 - HABITAT.,136.6,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9064359811.0,0.29867010051612053
GAJ***884,847***4.0,Retail,N - Accident,N05 - IND CIRC,64.62,Quarterly,C = 30-39,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,5.01501686699999e+16,0.29861808312393334
SDX***323,859***2.0,Retail,N - Accident,N05 - IND CIRC,56.24,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,862298802.0,0.29838942814376235
HFA***064,829***7.0,Retail,A - Motor,A05 - CYCLO,199.71,Quarterly,D = 40-69,Physical person,WAL,WHT,Urban,WAL,WHT,Urban,1130272101.0,0.2983281526944212
JZS***926,434***0.0,Retail,N - Accident,N05 - IND CIRC,68.56,Quarterly,C = 30-39,Physical person,WAL,WHT,Urban,WAL,WHT,Rural,1369014668.0,0.29809272519451685
