Contract_number_masked,Customer_ID_masked,Customer_segment,Line_of_business,Product_type,Annual_premium,Payment_frequency,Customer_age,Customer_type,Customer_region,Customer_province,Customer_urbanization,Broker_region,Broker_province,Broker_urbanization,Broker_cor,probability_direct_debit
DZN***697,956***7.0,Retail,P - Liability,P01 - FAMILY P,57.8,Annually,S = +69,Physical person,WAL,WHT,Rural,WAL,WNA,Rural,9450207590000000.0,0.46187302
ZMM***120,829***1.0,Retail,P - Liability,P01 - FAMILY P,57.8,Annually,S = +69,Physical person,WAL,WHT,Rural,WAL,WNA,Rural,9450207590000000.0,0.46187302
IOR***058,305***1.0,Retail,N - Accident,N05 - IND CIRC,138.26,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,7384032353.0,0.46098587
BUH***262,902***9.0,Retail,P - Liability,P01 - FAMILY P,66.35,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8287951798.0,0.4608636
EOD***667,965***3.0,Retail,A - Motor,A01 - TA/PRIVE,416.61,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,9314985846.0,0.460854
BHA***662,877***5.0,Retail,P - Liability,P01 - FAMILY P,105.86,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,7674950305.0,0.46068022
PIK***249,859***3.0,Retail,N - Accident,N05 - IND CIRC,44.25,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.46051314
WKU***722,138***6.0,Retail,N - Accident,N05 - IND CIRC,61.43,Quarterly,S = +69,Physical person,WAL,WHT,Urban,WAL,WHT,Urban,1.13912484599999e+16,0.45978898
ZSK***673,941***3.0,Retail,I - Property,I01 - HABITAT.,77.03,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,7250216457.0,0.45907974
QJE***185,913***1.0,Retail,A - Motor,A01 - TA/PRIVE,319.95,Quarterly,S = +69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,1.04108950799999e+16,0.4590415
HBF***992,949***2.0,Retail,I - Property,I01 - HABITAT.,40.29,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,8463822472.0,0.45885485
SHD***418,941***4.0,Retail,I - Property,I01 - HABITAT.,126.5,Semi-annually,C = 30-39,Physical person,WAL,WHT,Rural,WAL,WHT,Urban,7563099353.0,0.4584925
KYJ***165,110***8.0,Retail,N - Accident,N05 - IND CIRC,34.76,Annually,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,6622183834.0,0.45821792
PPD***040,333***8.0,Retail,P - Liability,P01 - FAMILY P,74.87,Annually,S = +69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.4580871
ZSC***391,891***5.0,Retail,P - Liability,P01 - FAMILY P,72.66,Annually,S = +69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.45781848
HOI***072,963***0.0,Retail,N - Accident,N05 - IND CIRC,56.23,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,9314985846.0,0.45750666
ROC***920,634***8.0,Retail,N - Accident,N05 - IND CIRC,37.6,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,5815549759.0,0.45740288
WTA***084,956***7.0,Retail,I - Property,I01 - HABITAT.,81.55,Annually,S = +69,Physical person,WAL,WHT,Rural,WAL,WNA,Rural,9450207590000000.0,0.4568954
CGY***574,819***7.0,Retail,N - Accident,N05 - IND CIRC,51.36,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.45680976
YYV***891,846***1.0,Retail,N - Accident,N05 - IND CIRC,54.63,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.45680976
KOW***413,751***5.0,Retail,P - Liability,P01 - FAMILY P,70.15,Annually,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,6622183834.0,0.45672134
SJT***001,755***4.0,Retail,N - Accident,N05 - IND CIRC,42.13,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.45659038
WDV***936,973***3.0,Retail,I - Property,I01 - HABITAT.,123.97,Quarterly,B = 25-29,Physical person,FLA,VWV,Urban,FLA,VWV,Rural,1.04108950799999e+16,0.45647445
SYN***956,955***5.0,Retail,I - Property,I01 - HABITAT.,311.38,Quarterly,C = 30-39,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,7571641514.0,0.4563937
VLW***272,942***8.0,Midcorp,R - Engineering,R07 - RESTART,128.25,Quarterly,No age,Enterprise,FLA,VBR,Rural,FLA,VBR,Rural,1.21050250499999e+16,0.45638484
MAO***940,787***8.0,Retail,A - Motor,A01 - TA/PRIVE,144.56,Quarterly,C = 30-39,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,7571641514.0,0.4560293
PUC***391,790***0.0,Retail,P - Liability,P01 - FAMILY P,74.46,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,1008592106.0,0.45566773
VIT***931,968***5.0,Retail,N - Accident,N05 - IND CIRC,43.74,Semi-annually,C = 30-39,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,8743764074.0,0.4554247
VBQ***281,970***2.0,Retail,A - Motor,A01 - TA/PRIVE,372.16,Semi-annually,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,1.49065480699999e+16,0.45527428
FVA***832,900***1.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WNA,Rural,7770774159999990.0,0.45483044
MNP***520,957***9.0,Retail,I - Property,I01 - HABITAT.,159.8,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.45426568
DKI***595,857***4.0,Retail,P - Liability,P01 - FAMILY P,72.65,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Urban,9315227891.0,0.45355108
RZV***769,858***1.0,Retail,N - Accident,N05 - IND CIRC,35.7,Annually,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,7604624328.0,0.45342934
SHN***792,741***1.0,Retail,I - Property,I01 - HABITAT.,297.65,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,6622183834.0,0.45338973
OYY***950,333***8.0,Retail,N - Accident,N05 - IND CIRC,50.95,Annually,S = +69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.45326373
PFW***372,441***2.0,Retail,P - Liability,P01 - FAMILY P,93.53,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.45311534
XBY***186,935***9.0,Retail,P - Liability,P01 - FAMILY P,60.76,Quarterly,B = 25-29,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9080915401.0,0.45272577
CUO***063,948***9.0,Retail,P - Liability,P01 - FAMILY P,57.8,Annually,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,1.49065480699999e+16,0.452698
RAL***070,955***0.0,Retail,P - Liability,P01 - FAMILY P,57.8,Annually,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,1.49065480699999e+16,0.452698
YCU***226,599***9.0,Retail,I - Property,I01 - HABITAT.,516.35,Quarterly,S = +69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,6391674023.0,0.4523088
KCB***866,938***1.0,Retail,N - Accident,N05 - IND CIRC,33.29,Annually,C = 30-39,Physical person,WAL,WHT,Urban,WAL,WHT,Urban,7563099353.0,0.45213592
AXA***059,926***1.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,8922079284.0,0.45180032
AHL***239,961***9.0,Retail,P - Liability,P01 - FAMILY P,58.17,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,8231207162.0,0.4514936
HUL***480,951***3.0,Retail,I - Property,I01 - HABITAT.,133.49,Quarterly,C = 30-39,Physical person,FLA,VLI,Urban,FLA,VLI,Urban,9315227891.0,0.4512875
XSO***004,409***8.0,Midcorp,A - Motor,"A03 - <= 3,5 T",1485.13,Annually,No age,Enterprise,FLA,VLI,Rural,FLA,VLI,Rural,5094359095.0,0.4510175
NOV***995,955***6.0,Retail,N - Accident,N05 - IND CIRC,46.01,Annually,C = 30-39,Physical person,WAL,WHT,Rural,WAL,WNA,Rural,9450207590000000.0,0.4509149
ZZI***418,812***0.0,Retail,P - Liability,P01 - FAMILY P,93.55,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,5733737915.0,0.4507822
HNN***749,103***3.0,Retail,P - Liability,P01 - FAMILY P,57.8,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,7929791872.0,0.4505432
FCL***343,951***8.0,SME,E - Liability,E16 - Liabilit,91.31,Quarterly,No age,Enterprise,BRU,BRU,Rural,FLA,PTS,Rural,7284518049.0,0.45008105
TRA***236,909***8.0,Midcorp,R - Engineering,R07 - RESTART,128.25,Quarterly,No age,Enterprise,FLA,VLI,Rural,FLA,VLI,Rural,8940904189.0,0.44991922
BWW***753,948***3.0,Retail,P - Liability,P01 - FAMILY P,57.8,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Urban,8905656238.0,0.44970345
FBR***573,571***4.0,Retail,P - Liability,P01 - FAMILY P,72.25,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Urban,8909887081.0,0.449683
EIR***564,115***9.0,Retail,P - Liability,P01 - FAMILY P,70.15,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.44943494
KVH***807,907***3.0,Retail,P - Liability,P01 - FAMILY P,70.15,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.44943494
LZG***431,951***0.0,Retail,P - Liability,P01 - FAMILY P,72.65,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,6900449434.0,0.44923353
KDS***827,510***8.0,Retail,P - Liability,P01 - FAMILY P,74.86,Quarterly,S = +69,Physical person,FLA,VLI,Urban,FLA,VLI,Urban,1092241334.0,0.44898915
QNL***268,822***2.0,Retail,P - Liability,P01 - FAMILY P,67.0,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Urban,6644939670000000.0,0.4488405
LEA***035,829***1.0,Retail,N - Accident,N05 - IND CIRC,112.83,Annually,S = +69,Physical person,WAL,WHT,Rural,WAL,WNA,Rural,9450207590000000.0,0.4486932
IBD***661,790***0.0,Retail,I - Property,I01 - HABITAT.,122.44,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,1008592106.0,0.44844636
PIX***663,840***5.0,Retail,P - Liability,P01 - FAMILY P,72.67,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.4480183
YTL***557,957***1.0,Retail,A - Motor,A06 - MOTO,204.4,Quarterly,D = 40-69,Physical person,FLA,VAN,Urban,FLA,VAN,Rural,1.764022288e+16,0.44775283
VTJ***016,951***0.0,Retail,I - Property,I01 - HABITAT.,113.68,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,6900449434.0,0.44749606
LGQ***680,972***3.0,SME,E - Liability,E16 - Liabilit,97.26,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.4474224
EKK***147,561***3.0,Retail,P - Liability,P01 - FAMILY P,72.65,Annually,S = +69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.44627082
XRY***827,625***9.0,Retail,P - Liability,P01 - FAMILY P,68.36,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.445975
NDM***531,967***0.0,Retail,P - Liability,P01 - FAMILY P,70.15,Annually,C = 30-39,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,6622183834.0,0.44587037
RJK***533,918***1.0,Retail,P - Liability,P01 - FAMILY P,59.97,Quarterly,C = 30-39,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8611614078.0,0.44570506
HDA***393,920***5.0,Retail,P - Liability,P01 - FAMILY P,68.83,Quarterly,S = +69,Physical person,WAL,WHT,Urban,WAL,WHT,Urban,4825647501.0,0.44551295
ZWH***297,975***9.0,Retail,P - Liability,P01 - FAMILY P,70.15,Annually,C = 30-39,Physical person,WAL,WHT,Urban,WAL,WHT,Rural,6622183834.0,0.44475856
WHG***898,822***9.0,Retail,I - Property,I01 - HABITAT.,110.28,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,9286282321.0,0.44450286
XFV***226,936***5.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,9736182342.0,0.4444503
